,frame_idx,x1,y1,x2,y2,cx,cy,confidence,nearest_to_ball,dist_to_ball
115,100101,1573,220,1671,493,1622,356,0.5760177,False,390.77870975783725
116,100101,1662,819,1850,1075,1756,947,0.567388,False,479.00417534714666
117,100101,1400,275,1511,465,1455,370,0.5115229,False,299.1738624947039
118,100102,942,333,1084,671,1013,502,0.8765183,False,390.114085877452
119,100102,1139,348,1282,676,1210,512,0.864339,False,216.6702563805194
120,100102,762,526,898,904,830,715,0.8512936,False,544.1001746002293
121,100102,479,518,592,881,535,699,0.8404431,False,837.0543590472485
122,100102,1377,469,1449,829,1413,649,0.7992273,True,42.7551166528639
123,100102,501,339,593,624,547,481,0.7719769,False,842.5864940764242
124,100102,812,417,909,657,860,537,0.76491475,False,524.9009430359217
125,100102,1693,239,1791,559,1742,399,0.7250736,False,451.8904734556815
126,100102,1284,826,1430,1076,1357,951,0.71860313,False,294.3331445828009
127,100102,869,234,998,444,933,339,0.660905,False,541.2651845445077
128,100102,1572,222,1671,495,1621,358,0.5933655,False,389.7447882910046
129,100102,690,212,814,433,752,322,0.5913889,False,703.8366287711943
130,100102,1663,820,1849,1075,1756,947,0.5742837,False,482.00103734328206
131,100102,1400,275,1511,465,1455,370,0.5284606,False,299.0401310861136
132,100103,945,334,1085,671,1015,502,0.8761191,False,384.2134823246056
133,100103,1139,349,1281,677,1210,513,0.8624225,False,212.3628969476542
134,100103,480,519,589,883,534,701,0.84533334,False,834.2146006873771
135,100103,761,525,897,904,829,714,0.8279491,False,541.1173625009643
136,100103,502,338,593,624,547,481,0.80728185,False,838.4658609627467
137,100103,1376,469,1449,829,1412,649,0.7996921,True,45.5411901469428
138,100103,812,416,908,657,860,536,0.7788258,False,521.0076774866183
139,100103,1284,826,1429,1076,1356,951,0.7228559,False,295.2050135075622
140,100103,1696,240,1792,559,1744,399,0.70875955,False,456.26527371694635
141,100103,869,234,998,444,933,339,0.6681056,False,537.4430202356339
142,100103,691,212,814,432,752,322,0.6033986,False,699.8435539461659
143,100103,1666,820,1851,1075,1758,947,0.58993864,False,487.4033237473869
144,100103,1573,222,1672,495,1622,358,0.57843703,False,392.21040271772495
145,100103,1399,277,1512,466,1455,371,0.518415,False,298.2767171604247
146,100117,1138,349,1288,677,1213,513,0.87394106,False,178.80715869338118
147,100117,964,335,1113,671,1038,503,0.8675177,False,339.43629741086914
148,100117,756,546,963,902,859,724,0.86406887,False,508.94891688655747
149,100117,485,523,585,883,535,703,0.7871551,False,826.2808239333647
150,100117,1374,474,1450,830,1412,652,0.7711586,True,64.1404708432983
151,100117,812,416,910,656,861,536,0.7609792,False,502.8966096525209
152,100117,1719,237,1802,560,1760,398,0.74621767,False,459.6194077712559
153,100117,498,338,592,606,545,472,0.72820395,False,825.1987639350898
154,100117,1290,823,1426,1076,1358,949,0.6993752,False,330.00151514803684
155,100117,870,234,998,443,934,338,0.6723945,False,507.8287112796991
156,100117,1593,223,1703,493,1648,358,0.60294193,False,390.8989639280207
157,100117,691,213,814,431,752,322,0.59339875,False,673.9688420097772
158,100117,1778,816,1878,1076,1828,946,0.5866586,False,573.384687622542
159,100117,1400,280,1508,466,1454,373,0.52335346,False,264.43335644354704
