,offset_ms,offset_sec,frame_idx,text
1490,5552011,5552.011,166560,LEFLOP
1491,5552674,5552.674,166580,LEFLOP
1492,5560924,5560.924,166827,yall really acting like this wasnt just 2seasons ago
1493,5561333,5561.333,166839,Way better than Jordan
1494,5562622,5562.622,166878,Le3Rims
1495,5563139,5563.139,166894,?
1496,5568404,5568.404,167052,poole aint dropping no 30
1497,5571694,5571.694,167150,JRdan Poole
1498,5573596,5573.596,167207,legod
1499,5575459,5575.459,167263,Rachel no longer with ESPN
1500,5575804,5575.804,167274,@Connor Gardener Poole been selling Bro
1501,5578876,5578.876,167366,LeCap
1502,5579195,5579.195,167375,Le3rims straight cap
1503,5590638,5590.638,167719,lePoole
1504,5591425,5591.425,167742,"LEGOAT, LeGEND, LeGreatest"
1505,5597781,5597.781,167933,go to hell
1506,5601673,5601.673,168050,poopoole
1507,5603338,5603.338,168100,LeBron
1508,5603895,5603.895,168116,Better you get ready for tonight.... lakers in 5
1509,5607436,5607.436,168223,میو
1510,5607863,5607.863,168235,The game is still over
1511,5610206,5610.206,168306,"bronsexuals, back at it"
1512,5613670,5613.67,168410,Lepoopi
1513,5614660,5614.66,168439,poole gonna choke again tonight
1514,5615263,5615.263,168457,"ong if curry said ""i saw 3 rims"" yall would've been on his meat forever"
1515,5617645,5617.645,168529,KING JAMES
1516,5622253,5622.253,168667,Poole gonna lose
1517,5622657,5622.657,168679,LeBron
1518,5631507,5631.507,168945,LEBRON IS THE GOAT
1519,5639756,5639.756,169192,lepork
1520,5640240,5640.24,169207,Last year gsw fans saying that poole is the next curry and now your saying that his selling games lmao
1521,5641195,5641.195,169235,Which team wins
1522,5648565,5648.565,169456,can't wait for the warriors to shoot 50 3s and miss 50% of em
1523,5648923,5648.923,169467,w chat
1524,5651141,5651.141,169534,LEBRON EL MEJOR
