quarter,time,team,action,points,score,frame_id
2,8:38.0,golden_state,Personal foul by A. Caruso (drawn by J. Poole),,31-26,
2,8:29.0,golden_state,J. Poole misses 3-pt jump shot from 29 ft,,31-26,
2,8:27.0,la_lakers,Defensive rebound by K. Kuzma,,31-26,
2,8:20.0,la_lakers,T. Horton-Tucker misses 3-pt jump shot from 27 ft,,31-26,
2,8:17.0,golden_state,Defensive rebound by K. Looney,,31-26,
2,7:56.0,golden_state,A. Wiggins makes 2-pt jump shot from 7 ft,+2,33-26,
2,7:43.0,la_lakers,M. Harrell misses 2-pt hook shot from 6 ft (block by K. Looney),,33-26,
2,7:40.0,golden_state,Defensive rebound by J. Toscano-Anderson,,33-26,
2,7:38.0,golden_state,J. Toscano-Anderson makes 2-pt layup from 2 ft,+2,35-26,
2,7:38.0,la_lakers,LA Lakers full timeout,,35-26,
2,7:25.0,la_lakers,L. James misses 2-pt layup from 3 ft (block by J. Toscano-Anderson),,35-26,
2,7:25.0,la_lakers,Offensive rebound by Team,,35-26,
2,7:18.0,la_lakers,L. James misses 2-pt layup from 3 ft,,35-26,
2,7:16.0,golden_state,Defensive rebound by K. Looney,,35-26,
2,7:03.0,golden_state,A. Wiggins misses 3-pt jump shot from 27 ft,,35-26,
2,7:01.0,la_lakers,Defensive rebound by Team,,35-26,
2,6:52.0,la_lakers,K. Kuzma makes 2-pt layup from 2 ft,+2,35-28,
2,6:32.0,golden_state,J. Toscano-Anderson misses 3-pt jump shot from 28 ft,,35-28,
2,6:30.0,la_lakers,Defensive rebound by M. Harrell,,35-28,
2,6:22.0,la_lakers,M. Harrell makes 2-pt dunk from 1 ft (assist by L. James),+2,35-30,
2,6:14.0,golden_state,Golden State full timeout,,35-30,
2,6:14.0,golden_state,K. Bazemore enters the game for K. Looney,,35-30,
2,6:14.0,golden_state,S. Curry enters the game for M. Mulder,,35-30,
2,6:14.0,golden_state,D. Green enters the game for A. Wiggins,,35-30,
2,6:14.0,la_lakers,K. Caldwell-Pope enters the game for M. Harrell,,35-30,
2,6:14.0,la_lakers,A. Davis enters the game for T. Horton-Tucker,,35-30,
