,frame_idx,x1,y1,x2,y2,confidence,class_id,class_name,cx,cy,area,dx,dy,d_area,magnitude
82,1662,983,637,1016,676,0.52497476,37,sports ball,999.5,656.5,1287,-0.39024627133664236,-0.7665551758398332,419.0,0.860173813771955
83,1663,981,635,1019,672,0.6447661,37,sports ball,1000.0,653.5,1406,0.013334518676566624,-0.08000711205939974,119.0,0.08111071056538126
84,1665,1490,553,1513,575,0.7289979,37,sports ball,1501.5,564.0,506,22.29439435739051,-3.978760309045764,-900.0,22.646645521129255
85,1764,1128,408,1155,435,0.5186419,37,sports ball,1141.5,421.5,729,-13.333333333333334,-5.277777777777778,223.0,14.33989944348923
86,1766,1122,404,1150,432,0.53453386,37,sports ball,1136.0,418.0,784,-0.19642857142857142,-0.125,55.0,0.23282865732866603
87,1768,1114,401,1140,429,0.57857454,37,sports ball,1127.0,415.0,728,-0.3335621924974955,-0.11118739749916517,-56.0,0.35160542320387156
88,1769,1108,406,1136,430,0.7170611,37,sports ball,1122.0,418.0,672,-0.19287918745261487,0.11572751247156893,-56.0,0.2249338527106093
89,1770,1104,409,1131,432,0.72332036,37,sports ball,1117.5,420.5,621,-0.18057877962865382,0.100321544238141,-51.0,0.20657470292971306
90,1772,1099,412,1126,439,0.7567155,37,sports ball,1112.5,425.5,729,-0.18518518518518517,0.18518518518518517,108.0,0.261891400439462
91,1773,1098,420,1126,445,0.5587925,37,sports ball,1112.0,432.5,700,-0.01889822365046136,0.2645751311064591,-29.0,0.26524920896610205
92,1774,1098,424,1125,451,0.7354444,37,sports ball,1111.5,437.5,729,-0.018518518518518517,0.18518518518518517,29.0,0.186108807798535
93,1775,1100,432,1127,459,0.6337706,37,sports ball,1113.5,445.5,729,0.07407407407407407,0.2962962962962963,0.0,0.3054152315272341
94,1776,1494,538,1519,562,0.8053496,37,sports ball,1506.5,550.0,600,16.044157815229816,4.266194635347369,-129.0,16.60166909279506
95,1778,1102,443,1128,467,0.7905029,37,sports ball,1115.0,455.0,624,-15.672543053672904,-3.8030436528708194,24.0,16.127360193003437
96,1779,1104,451,1131,477,0.7660468,37,sports ball,1117.5,464.0,702,0.09435641951204965,0.3396831102433787,78.0,0.3525446770095236
97,1780,1108,464,1135,488,0.6166996,37,sports ball,1121.5,476.0,648,0.15713484026367722,0.4714045207910317,-54.0,0.49690399499995325
98,1782,1121,488,1147,512,0.72098714,37,sports ball,1134.0,500.0,624,0.5004004806408973,0.9607689228305227,-24.0,1.0832716944989211
99,1783,1127,500,1154,528,0.8030793,37,sports ball,1140.5,514.0,756,0.23640271442232508,0.5091750772173156,132.0,0.5613782171099113
100,1784,1140,490,1166,516,0.6002522,37,sports ball,1153.0,503.0,676,0.4807692307692308,-0.4230769230769231,-80.0,0.6404163771287197
101,1786,1167,469,1192,494,0.56424665,37,sports ball,1179.5,481.5,625,1.06,-0.86,-51.0,1.3649908424601243
102,1789,1190,452,1215,475,0.5743756,37,sports ball,1202.5,463.5,575,0.9591663046625439,-0.7506518906054691,-50.0,1.21798122352915
103,1858,711,491,741,517,0.5290947,37,sports ball,726.0,504.0,780,-17.06143687398949,1.4501326199298517,205.0,17.122952806701093
104,1887,1498,524,1521,545,0.8286802,37,sports ball,1509.5,534.5,483,35.650484419394274,1.3877980533395347,-297.0,35.67748621714157
105,1998,1503,508,1527,530,0.6559111,37,sports ball,1515.0,519.0,528,0.23935677693908453,-0.6745509168283291,45.0,0.7157587624756026
106,2022,1294,436,1329,470,0.50427854,37,sports ball,1311.5,453.0,1190,-5.899170287763663,-1.9132444176530798,662.0,6.2016702819252085
107,2038,1328,109,1363,145,0.6590267,37,sports ball,1345.5,127.0,1260,0.9578414886923188,-9.184009568049879,70.0,9.233823263604954
108,2039,1329,101,1362,137,0.5282285,37,sports ball,1345.5,119.0,1188,0.0,-0.23210354127426377,-72.0,0.23210354127426377
109,2040,1330,94,1363,126,0.5046785,37,sports ball,1346.5,110.0,1056,0.03077287274483318,-0.27695585470349865,-132.0,0.27866021451135636
110,2042,775,388,795,413,0.51797956,37,sports ball,785.0,400.5,500,-25.11104338732264,12.991554949273777,-556.0,28.272690002898557
111,2070,1375,386,1402,417,0.6699279,37,sports ball,1388.5,401.5,837,20.860011592327055,0.03456505649101418,337.0,20.860040229471018
112,2071,1378,415,1406,443,0.7625961,37,sports ball,1392.0,429.0,784,0.125,0.9821428571428571,-53.0,0.9900654482592223
113,2072,1382,443,1410,471,0.78159034,37,sports ball,1396.0,457.0,784,0.14285714285714285,1.0,0.0,1.0101525445522108
114,2073,1383,473,1414,499,0.7543985,37,sports ball,1398.5,486.0,806,0.08805874420954336,1.021481432830703,22.0,1.0252700425008174
