,frame_idx,x1,y1,x2,y2,confidence,class_id,class_name,cx,cy,area,raw_dx,raw_dy,d_area,cam_dx,cam_dy,corrected_dx,corrected_dy,dx,dy,magnitude,log_magnitude,magnitude_bucket
13,1256,1748,599,1784,631,0.51445425,37,sports ball,1766.0,615.0,1152,155.0,-225.0,132.0,16.682525634765625,-9.52822494506836,138.31747436523438,-215.47177505493164,4.07521767001057,-6.348398053985189,7.543842317400949,0.8775926021313991,1
14,1257,1755,573,1789,610,0.5111039,37,sports ball,1772.0,591.5,1258,6.0,-23.5,106.0,-2.243072509765625,-0.04925537109375,8.243072509765625,-23.45074462890625,0.23240678320259953,-0.6611748369862032,0.7008317044357457,-0.1543862596509816,1
15,1258,1755,545,1788,577,0.7523603,37,sports ball,1771.5,561.0,1056,-0.5,-30.5,-202.0,-3.372222900390625,-0.0306243896484375,2.872222900390625,-30.469375610351562,0.08838654980851637,-0.9376302182718724,0.9417869230370597,-0.026047344146294643,1
16,1262,1710,441,1743,471,0.5163922,37,sports ball,1726.5,456.0,990,-45.0,-105.0,-66.0,-19.155487060546875,0.038875579833984375,-25.844512939453125,-105.03887557983398,-0.8213925408347397,-3.3383546093931376,3.4379204767119553,0.5362958267068761,1
17,1264,1662,406,1697,435,0.57264835,37,sports ball,1679.5,420.5,1015,-47.0,-35.5,25.0,-12.000030517578125,0.1083221435546875,-34.999969482421875,-35.60832214355469,-1.098587478112005,-1.1176825980701033,1.5671977657887441,0.19512380385299471,1
18,1265,1646,389,1676,422,0.50915545,37,sports ball,1661.0,405.5,990,-18.5,-15.0,-25.0,-6.66619873046875,0.0001220703125,-11.83380126953125,-15.0001220703125,-0.37610289330216806,-0.4767351742720037,0.6072312679189205,-0.21664587358322782,1
19,1302,1560,389,1586,417,0.68231505,37,sports ball,1573.0,403.0,728,-88.0,-2.5,-262.0,-38.62384033203125,1.267547607421875,-49.37615966796875,-3.767547607421875,-1.830002230661563,-0.1396346044744816,1.8353217666101609,0.26371221529812294,1
20,1303,1568,392,1599,420,0.5899019,37,sports ball,1583.5,406.0,868,10.5,3.0,140.0,0.22478485107421875,-0.09194183349609375,10.275215148925781,3.0919418334960938,0.348763527489348,0.104947344168722,0.36421139899086274,-0.43864646589595835,1
21,1339,1414,118,1445,151,0.6129054,37,sports ball,1429.5,134.5,1023,-154.0,-271.5,155.0,6.311309814453125,13.588485717773438,-160.31130981445312,-285.08848571777344,-5.012176381240224,-8.913368472455327,10.225949814194422,1.0097036570124707,2
22,1359,999,17,1030,48,0.5142619,37,sports ball,1014.5,32.5,961,-415.0,-102.0,-62.0,0.28948974609375,44.863922119140625,-415.28948974609375,-146.86392211914062,-13.396435153099798,-4.737545874810988,14.209462189933392,1.1525776407449004,2
23,1370,760,113,795,145,0.6692097,37,sports ball,777.5,129.0,1120,-237.0,96.5,159.0,-1.1800994873046875,9.196670532226562,-235.8199005126953,87.30332946777344,-7.046467293579097,2.6086859267507307,7.5138501172106995,0.8758625277093266,1
